अफ्रीका	Afrique
रातोछाती काष्ठकुट	Pic à plastron rouge
जमल श्येनबाज	Busautour aux yeux blancs
विक्रमादित्य	Vikramâditya
ठूलो सुनजुरे काठफोर	Pic à nuque jaune
हिमाली काष्ठकुट	Pic de l'Himalaya
धर्के ढुकुर	Phasianelle onchall
कैलो मलाहा हुचील	Kétoupa roux
पहेंलोखुट्टे गट्टेबट्टाई	Turnix indien
गुलाफीटाउके सुगा	Perruche à tête rose
कत्ले काठफोर	Pic striolé
सानो खरमुजुर	Outarde passarage
सुनजुरे काठफोर	Pic à huppe jaune
सानो तामे लाहाँचे	Pic brun
चाकासूचक	Indicateur à dos jaune
कैलोछाती काष्ठकुट	Pic à ventre fauve
मिस नेपाल	Miss Népal
दार्जिलिङ काष्ठकुट	Pic de Darjiling
लौका	Lagenaria siceraria
एकता मजदुर पार्टी	Parti travailliste uni (Saint-Vincent-et-les-Grenadines)
थारु जाति	Tharu
आलमआरा	Alam Ara
परिवार नियोजन	Planification familiale
मणिलाल गान्धी	Manilal Gandhi
उरुग्वे समाजवादी पार्टी	Parti socialiste d'Uruguay
गन्धर्व	Gandharva
जमदग्नी ऋषि	Jamadagni
एकिकृत मजदुर पार्टी	Parti uni des travailleurs (Sainte-Lucie)
सेंट लूसिया मजदुर पार्टी	Parti travailliste de Sainte-Lucie
वाचस्पति मिश्र	Vācaspati Miśra
राष्ट्रिय स्वयंसेवक संघ	Rashtriya Swayamsevak Sangh
शनि ग्रह (ज्योतिषशास्त्र)	Shani
सुन्तलेटाउके कालोतितु	Pyrrhoplecte à nuque d'or
सिम्रिक राजतितु	Durbec à tête rouge
रक्तशीर्ष राजतितु	Roselin à gorge rouge
भोट सिस्कीन	Serin du Tibet
घरपालुवा जनावर	Liste des animaux d'élevage
धर्के राजतितु	Roselin strié
गुन्सी	Podocarpus neriifolius
पंखथोप्ले तितु	Roselin à ailes tachetées
छातीकाले तोपचरा	Tisserin du Bengale
धर्के तोपचरा	Tisserin manyar
सुनौलो तोपचरा	Tisserin de Finn
कुमफुस्रे बगेडी	Bruant de Pallas
कैलो भँगेरा	Moineau rutilant
चाँदीठुँडे मुनियाँ	Capucin bec-de-plomb
बया तोपचरा	Tisserin baya
एकतारे	Ektara
वाराणसी जिल्ला	District de Vārānasī
रायबरेली जिल्ला	District de Raebareli
इङ्गल्यान्ड राष्ट्रिय क्रिकेट टिम	Équipe d'Angleterre de cricket
चिचिण्डो	Trichosanthes cucumerina
एल चाभो डेल ओचो	El Chavo del Ocho
सूरदास	Surdas
पालन-पोषण	Éducation familiale
मजदुर इन्टरनेसनलका फ्रान्सेली भाग	Section française de l'Internationale ouvrière
गोत्र	Gotra
योनी (हिन्दु धर्म)	Yoni
मातृ मृत्युदर	Mort maternelle
भारतीय स्टेट बैंक	State Bank of India
गुरुङ जाति	Gurung
सिलु बिरालो	Prionodon pardicolor
मुरादाबाद जिल्ला	District de Moradabad
कैलोढाडे मुसेफिस्टो	Locustelle de Pallas
ल्होसार	Losar
एरिक बेजिग	Eric Betzig
अपरेसन सोलोमान	Opération Salomon
विप्रेषण	Envois de fonds
विकी लभ्स मोन्युमेन्ट्स	Wiki Loves Monuments
म्याकमहोन रेखा	Ligne McMahon
नेपाल प्रहरी क्लब	Népal Police Club
कुवेम्पु विश्वविद्यालय	Université Kuvempu
जौनपुर जिल्ला	District de Jaunpur
इन्सास राइफल	INSAS (fusil et mitrailleuse)
महाराजगंज जिल्ला	District de Maharajganj
सुल्तानपुर जिल्ला	District de Sultanpur
बेली	Jasminum sambac
झुसे राजपंखी लोखर्के	Belomys pearsonii
समुत सङ्ख्राम	Samut Songkhram
एज्नेज मो	Agnes Monica
२०१४ आइसिसी वर्ल्ड ट्वान्टी२०	ICC World Twenty20 2014
जलब्राह्मी	Bacopa monnieri
कालोमुखे ठुटेखरायो	Pika à lèvres noires
एफएम	Radio FM
मस्याङ	Haricot riz
विश्व सिमसार दिवस	Journée mondiale des zones humides
अलैंची	Amomum subulatum
जगनाथ	Jagannâtha
शर्मन जोशी	Sharman Joshi
रेखाचित्र	Line graph
श्रीमान् गम्भिर नेपाली	Ras Triya Gaan
गढवाल अधिराज्य	État de Garhwal
विलियम मर्नर	William Moerner
गोथा कार्यक्रम	Programme de Gotha
हरिलाल गान्धी	Harilal Gandhi
गयासुद्धीन तुगलक	Ghiyath al-Din Tughlûq
मोथे	Cyperus rotundus
इसाई प्रजातान्त्रिक दल (चिले)	Parti démocrate-chrétien du Chili
एनिमल फार्म	La Ferme des animaux
मातृकाप्रसाद कोइराला	Matrika Prasad Koirala
बर	Figuier des banians
दुर्योधन	Duryodhana
भगोष्ठ	Lèvres vaginales
श्रेणी:रुस	Catégorie:Russie
श्रेणी:जापान	Catégorie:Japon
श्रेणी:भारत	Catégorie:Inde
अन्तर्राष्ट्रिय अहिंसा दिवस	Journée internationale de la non-violence
मच्छिन्द्रनाथ	Matsyendranath
कपासे	Saussurea
राष्ट्रिय नविकरण	Rénovation nationale (Chili)
दक्षिण अफ्रिका राष्ट्रिय क्रिकेट टिम	Équipe d'Afrique du Sud de cricket
याज्ञवल्क्य	Yājñavalkya
मिनाक्षी अम्मन मन्दिर	Temple de Mînâkshî
माइकल क्लार्क	Michael Clarke (cricket)
बाजीगर	Charmeur de serpents
बाल्यशल्यचिकित्सा	Chirurgie pédiatrique
कोलोरादो पार्टी	Parti Colorado
जोमसोम विमानस्थल	Aéroport de Jomsom
पोखरा विमानस्थल	Aéroport de Pokhara
रामेश्वरम शहर	Rameswaram
फुस्रो चैतेचरा	Caprimulgus jotaka
अग्निवक्ष पुष्पकोकिल	Dicée à gorge feu
क्षत्री	Kshatriya
धनगढी नगरपालिका	Dhangadhi
घोराही नगरपालिका	Ghorahi
फिरोजाबाद	Firozabad
श्रेणी:पोल्याण्ड	Catégorie:Pologne
श्रेणी:चरा	Catégorie:Oiseau
श्रेणी:इतिहास	Catégorie:Histoire
श्रेणी:भूगोल	Catégorie:Géographie
श्रेणी:धर्म	Catégorie:Religion
मध्यपुर ठिमी नगरपालिका	Madhyapur Thimi
त्रियुगा नगरपालिका	Triyuga
दमक नगरपालिका	Damak (Népal)
श्रेणी:विज्ञान	Catégorie:Sciences
श्रेणी:पृथ्वी	Catégorie:Terre
मोनोकिनी	Monokini
कालछिद्र सूचना विरोधाभास	Paradoxe de l'information
खुम्बु हिमनदी	Glacier du Khumbu
१९३४ फिफा विश्वकप	Coupe du monde de football de 1934
हावडा जिल्ला	District d'Haora
भारतका विश्वविद्यालयहरूको सूची	Liste des universités indiennes
यति एयरलाइन्स	Yeti Airlines
पूर्नजन्म (बौद्ध)	Punarbhava
राष्ट्रपति शासन	President's rule
गौरीशंकर हिमाल	Gauri Sankar
तानसेन नगरपालिका	Tansen (Népal)
जनक	Janaka (roi)
स्वतन्त्र मजदुर पार्टी	Parti travailliste indépendant
ठुटे ढाडेमुसो	Rat à queue courte
कीर्तिपुर नगरपालिका	Kirtipur
मऊ जिल्ला	District de Mau
मेचीनगर नगरपालिका	Mechinagar
रेट्बा ताल	Lac Rose
आय	Revenu
लेखनाथ नगरपालिका	Leknath
गाउँ विकास समिति	Comité de développement villageois
धनकुटा नगरपालिका	Dhankuta
सिद्धार्थनगर नगरपालिका	Siddharthanagar
संविधानसभा निर्वाचन, २०६४	Élection de l'Assemblée constituante népalaise de 2008
उरुग्वे कम्युनिष्ट पार्टी	Parti communiste d'Uruguay
