Afraga	Afrique
Teamplaid:Dàta brataich Alba	Modèle:Country data Écosse
Roinn-seòrsa:User it	Catégorie:Utilisateur it
Roinn-seòrsa:User it-1	Catégorie:Utilisateur it-1
Roinn-seòrsa:User ja-1	Catégorie:Utilisateur ja-1
Roinn-seòrsa:User gd-0	Catégorie:Utilisateur gd-0
Roinn-seòrsa:User la-1	Catégorie:Utilisateur la-1
Roinn-seòrsa:User la-3	Catégorie:Utilisateur la-3
Leòdhas	Lewis (Écosse)
Roinn-seòrsa:1510an	Catégorie:Années 1510
Teamplaid:Information	Modèle:Information
Roinn-seòrsa:14mh linn RC	Catégorie:XIVe siècle av. J.-C.
Breac-òtraich	Herpès
Roinn-seòrsa:User ru-1	Catégorie:Utilisateur ru-1
Teamplaid:Siorrachdan na Cuimrigh	Modèle:Palette Subdivisions du pays de Galles
Teamplaid:Expand list	Modèle:Liste incomplète
Teamplaid:Tdeprecated	Modèle:Modèle obsolète
Mial	Phthiraptera
Teamplaid:User sv-1	Modèle:Utilisateur sv-1
Roinn-seòrsa:1970an	Catégorie:Années 1970
Roinn-seòrsa:1890an	Catégorie:Années 1890
Teamplaid:Babel field 2	Modèle:Babel field 2
Roinn-seòrsa:Strìopachas	Catégorie:Prostitution
Roinn-seòrsa:Caistealan	Catégorie:Château fort
Roinn-seòrsa:Criogaid	Catégorie:Cricket
Roinn-seòrsa:Sasainn	Catégorie:Angleterre
Aitheamh	Fathom (unité de mesure)
Teamplaid:Babel field 5	Modèle:Babel field 5
Roinn-seòrsa:Cànain Bhrittonach	Catégorie:Langue brittonique
Roinn-seòrsa:User nds	Catégorie:Utilisateur nds
Roinn-seòrsa:User nds-1	Catégorie:Utilisateur nds-1
Roinn-seòrsa:User nds-N	Catégorie:Utilisateur nds-M
Teamplaid:Coord/dms2dec	Modèle:Coord/dms2dec
Roinn-seòrsa:Sgrìobhadairean Sasannach	Catégorie:Écrivain anglais
Teamplaid:Yes2	Modèle:Oui2
Roinn-seòrsa:Sgrìobhadairean Pearùthach	Catégorie:Écrivain péruvien
Roinn-seòrsa:Uisge	Catégorie:Eau
Roinn-seòrsa:Oklahoma	Catégorie:Oklahoma
Roinn-seòrsa:A' Bhealaruis	Catégorie:Biélorussie
Roinn-seòrsa:Alba Nuadh	Catégorie:Nouvelle-Écosse
Roinn-seòrsa:Massachusetts	Catégorie:Massachusetts
Teamplaid:Mòr-roinnean ann an Canada	Modèle:Palette Provinces et territoires du Canada
Roinn-seòrsa:1940an	Catégorie:Années 1940
Roinn-seòrsa:1900an	Catégorie:Années 1900
Roinn-seòrsa:1910an	Catégorie:Années 1910
Roinn-seòrsa:1920an	Catégorie:Années 1920
Roinn-seòrsa:1930an	Catégorie:Années 1930
Roinn-seòrsa:1950an	Catégorie:Années 1950
Roinn-seòrsa:1960an	Catégorie:Années 1960
Roinn-seòrsa:1980an	Catégorie:Années 1980
Roinn-seòrsa:1990an	Catégorie:Années 1990
Roinn-seòrsa:2000an	Catégorie:Années 2000
Roinn-seòrsa:2010an	Catégorie:Années 2010
Roinn-seòrsa:2020an	Catégorie:Années 2020
Roinn-seòrsa:2030an	Catégorie:Années 2030
Roinn-seòrsa:2040an	Catégorie:Années 2040
Roinn-seòrsa:2050an	Catégorie:Années 2050
Roinn-seòrsa:2060an	Catégorie:Années 2060
Roinn-seòrsa:2080an	Catégorie:Années 2080
Roinn-seòrsa:2090an	Catégorie:Années 2090
Teamplaid:User cs	Modèle:Utilisateur cs
Teamplaid:User ru-2	Modèle:Utilisateur ru-2
Teamplaid:User es-3	Modèle:Utilisateur es-3
Roinn-seòrsa:User pt-2	Catégorie:Utilisateur pt-2
Roinn-seòrsa:User pt-N	Catégorie:Utilisateur pt-M
Roinn-seòrsa:User ro-2	Catégorie:Utilisateur ro-2
Roinn-seòrsa:User ru	Catégorie:Utilisateur ru
Roinn-seòrsa:User ru-2	Catégorie:Utilisateur ru-2
Roinn-seòrsa:User ru-3	Catégorie:Utilisateur ru-3
Roinn-seòrsa:User ru-4	Catégorie:Utilisateur ru-4
Roinn-seòrsa:User sk-1	Catégorie:Utilisateur sk-1
Roinn-seòrsa:User sr	Catégorie:Utilisateur sr
Roinn-seòrsa:User sr-1	Catégorie:Utilisateur sr-1
Roinn-seòrsa:User sv-1	Catégorie:Utilisateur sv-1
Roinn-seòrsa:User sv-3	Catégorie:Utilisateur sv-3
Roinn-seòrsa:User sv-N	Catégorie:Utilisateur sv-M
Roinn-seòrsa:User tr	Catégorie:Utilisateur tr
Roinn-seòrsa:User tr-N	Catégorie:Utilisateur tr-M
Roinn-seòrsa:User uk-1	Catégorie:Utilisateur uk-1
Roinn-seòrsa:User uk-2	Catégorie:Utilisateur uk-2
Roinn-seòrsa:User uk-3	Catégorie:Utilisateur uk-3
Roinn-seòrsa:User uk-4	Catégorie:Utilisateur uk-4
Roinn-seòrsa:User uk-5	Catégorie:Utilisateur uk-5
Roinn-seòrsa:User vi	Catégorie:Utilisateur vi
Roinn-seòrsa:User vi-N	Catégorie:Utilisateur vi-M
Roinn-seòrsa:1692	Catégorie:1692
Roinn-seòrsa:Eilean Mhanainn	Catégorie:Île de Man
Roinn-seòrsa:Luchd-ciùil	Catégorie:Musicien
Teamplaid:Lang	Modèle:Langue
Universidade Federal do Recôncavo da Bahia	Université fédérale de Recôncavo da Bahia
Roinn-seòrsa:Sgrìobhadairean Innis Tìleach	Catégorie:Écrivain islandais
Roinn-seòrsa:Sgrìobhadairean Sìneach	Catégorie:Écrivain chinois
Teamplaid:User ro-1	Modèle:Utilisateur ro-1
Roinn-seòrsa:Craobhan	Catégorie:Arbre
Llangatwg Feibion Afel	Llangattock Vibon Avel
Cat mòr	Fauve
Roinn-seòrsa:1310an	Catégorie:Années 1310
Roinn-seòrsa:1290an	Catégorie:Années 1290
Roinn-seòrsa:1520an	Catégorie:Années 1520
Roinn-seòrsa:1540an	Catégorie:Années 1540
Roinn-seòrsa:1560an	Catégorie:Années 1560
Roinn-seòrsa:1820an	Catégorie:Années 1820
Roinn-seòrsa:1670an	Catégorie:Années 1670
Roinn-seòrsa:1770an	Catégorie:Années 1770
Roinn-seòrsa:1760an	Catégorie:Années 1760
Roinn-seòrsa:1710an	Catégorie:Années 1710
Roinn-seòrsa:1650an	Catégorie:Années 1650
Roinn-seòrsa:1610an	Catégorie:Années 1610
Roinn-seòrsa:1630an	Catégorie:Années 1630
Roinn-seòrsa:1810an	Catégorie:Années 1810
Roinn-seòrsa:1530an	Catégorie:Années 1530
Roinn-seòrsa:1410an	Catégorie:Années 1410
Roinn-seòrsa:1340an	Catégorie:Années 1340
Roinn-seòrsa:1490an	Catégorie:Années 1490
Roinn-seòrsa:1480an	Catégorie:Années 1480
Roinn-seòrsa:1640an	Catégorie:Années 1640
Roinn-seòrsa:3mh Linn	Catégorie:IIIe siècle
Roinn-seòrsa:1850an	Catégorie:Années 1850
Roinn-seòrsa:11mh linn	Catégorie:XIe siècle
Roinn-seòrsa:1200an	Catégorie:Années 1200
Roinn-seòrsa:17mh linn	Catégorie:XVIIe siècle
Roinn-seòrsa:1880an	Catégorie:Années 1880
Roinn-seòrsa:1720an	Catégorie:Années 1720
Roinn-seòrsa:1750an	Catégorie:Années 1750
Roinn-seòrsa:1870an	Catégorie:Années 1870
Roinn-seòrsa:1780an	Catégorie:Années 1780
Roinn-seòrsa:1860an	Catégorie:Années 1860
Roinn-seòrsa:1790an	Catégorie:Années 1790
Roinn-seòrsa:1730an	Catégorie:Années 1730
Roinn-seòrsa:1210an	Catégorie:Années 1210
Roinn-seòrsa:1270an	Catégorie:Années 1270
Roinn-seòrsa:1280an	Catégorie:Années 1280
Roinn-seòrsa:1240an	Catégorie:Années 1240
Roinn-seòrsa:1350an	Catégorie:Années 1350
Roinn-seòrsa:1440an	Catégorie:Années 1440
Roinn-seòrsa:1250an	Catégorie:Années 1250
Roinn-seòrsa:1800s	Catégorie:Années 1800
Roinn-seòrsa:1450an	Catégorie:Années 1450
Roinn-seòrsa:1570an	Catégorie:Années 1570
Roinn-seòrsa:1460an	Catégorie:Années 1460
Roinn-seòrsa:1470an	Catégorie:Années 1470
Roinn-seòrsa:1580an	Catégorie:Années 1580
Roinn-seòrsa:1330an	Catégorie:Années 1330
Roinn-seòrsa:1420an	Catégorie:Années 1420
Roinn-seòrsa:1700an	Catégorie:Années 1700
Roinn-seòrsa:1500an	Catégorie:Années 1500
Roinn-seòrsa:10mh Linn	Catégorie:Xe siècle
Roinn-seòrsa:1400an	Catégorie:Années 1400
Roinn-seòrsa:1220an	Catégorie:Années 1220
Roinn-seòrsa:1230an	Catégorie:Années 1230
Roinn-seòrsa:7mh Linn	Catégorie:VIIe siècle
Roinn-seòrsa:1360an	Catégorie:Années 1360
Roinn-seòrsa:1260an	Catégorie:Années 1260
Roinn-seòrsa:1300an	Catégorie:Années 1300
Roinn-seòrsa:Fiamh daonna	Catégorie:Humain
Roinn-seòrsa:Sgrìobhadairean Nirribheach	Catégorie:Écrivain norvégien
Roinn-seòrsa:BBC	Catégorie:British Broadcasting Corporation
Roinn-seòrsa:Régions na Frainge	Catégorie:Région française
Teamplaid:User sv-3	Modèle:Utilisateur sv-3
Roinn-seòrsa:LCDT-dualchas	Catégorie:Culture LGBT
Roinn-seòrsa:Florida	Catégorie:Floride
Roinn-seòrsa:Glaschu	Catégorie:Glasgow
Roinn-seòrsa:Nevada	Catégorie:Nevada
Roinn-seòrsa:Nebraska	Catégorie:Nebraska
Roinn-seòrsa:Dakota a Tuath	Catégorie:Dakota du Nord
Roinn-seòrsa:Meagsago Nuadh	Catégorie:Nouveau-Mexique
Roinn-seòrsa:Eabhraig Nuadh (stàit)	Catégorie:État de New York
Roinn-seòrsa:Jersey Nuadh	Catégorie:New Jersey
Roinn-seòrsa:Hampshire Nuadh	Catégorie:New Hampshire
Roinn-seòrsa:Rhode Island	Catégorie:Rhode Island
Roinn-seòrsa:Louisiana	Catégorie:Louisiane
Roinn-seòrsa:Maryland	Catégorie:Maryland
Roinn-seòrsa:Maine	Catégorie:Maine
Roinn-seòrsa:Minnesota	Catégorie:Minnesota
Roinn-seòrsa:Michigan	Catégorie:Michigan
Roinn-seòrsa:Mississippi	Catégorie:Mississippi
Roinn-seòrsa:Missouri	Catégorie:Missouri
Roinn-seòrsa:Vermont	Catégorie:Vermont
Roinn-seòrsa:Virginia	Catégorie:Virginie
Roinn-seòrsa:Dakota a Deas	Catégorie:Dakota du Sud
Roinn-seòrsa:Idaho	Catégorie:Idaho
Roinn-seòrsa:Iowa	Catégorie:Iowa
Roinn-seòrsa:Arkansas	Catégorie:Arkansas
Roinn-seòrsa:Alasca	Catégorie:Alaska
Roinn-seòrsa:Arizona	Catégorie:Arizona
Roinn-seòrsa:Alabama	Catégorie:Alabama
Roinn-seòrsa:Oregon	Catégorie:Oregon
Roinn-seòrsa:Ohio	Catégorie:Ohio
Roinn-seòrsa:Virginia an Iar	Catégorie:Virginie-Occidentale
Roinn-seòrsa:Wisconsin	Catégorie:Wisconsin
Roinn-seòrsa:Utah	Catégorie:Utah
Roinn-seòrsa:Indiana	Catégorie:Indiana
Roinn-seòrsa:Illinois	Catégorie:Illinois
Roinn-seòrsa:Kansas	Catégorie:Kansas
Roinn-seòrsa:Calafòrnia	Catégorie:Californie
Roinn-seòrsa:Kentucky	Catégorie:Kentucky
Roinn-seòrsa:Connecticut	Catégorie:Connecticut
Roinn-seòrsa:Colorado	Catégorie:Colorado
Roinn-seòrsa:Texas	Catégorie:Texas
Roinn-seòrsa:Pennsylvania	Catégorie:Pennsylvanie
Roinn-seòrsa:Hawaii	Catégorie:Hawaï
Roinn-seòrsa:An Dàrna Cogadh	Catégorie:Seconde Guerre mondiale
Roinn-seòrsa:An Cogadh Mòr	Catégorie:Première Guerre mondiale
Teamplaid:Cuan	Modèle:Palette Océans
Roinn-seòrsa:Sgrìobhadairean Beilgeach	Catégorie:Écrivain belge
Roinn-seòrsa:Sgrìobhadairean Sileach	Catégorie:Écrivain chilien
Roinn-seòrsa:Sgrìobhadairean Gearmailteach	Catégorie:Écrivain allemand
Roinn-seòrsa:Sgrìobhadairean Danmhairgeach	Catégorie:Écrivain danois
Roinn-seòrsa:Sgrìobhadairean Ostaireach	Catégorie:Écrivain autrichien
Michael Levitt	Michael Levitt
Roinn-seòrsa:Filmean Israelach	Catégorie:Film israélien
Roinn-seòrsa:Sgrìobhadairean Frangach	Catégorie:Écrivain français
Roinn-seòrsa:Sgrìobhadairean Greugach	Catégorie:Écrivain grec
Roinn-seòrsa:Sgrìobhadairean Innseanach	Catégorie:Écrivain indien
Roinn-seòrsa:Sgrìobhadairean Èireannach	Catégorie:Écrivain irlandais
Roinn-seòrsa:Sgrìobhadairean Eadailteach	Catégorie:Écrivain italien
Roinn-seòrsa:Sgrìobhadairean Seapanach	Catégorie:Écrivain japonais
Roinn-seòrsa:Sgrìobhadairean Canèideanach	Catégorie:Écrivain canadien
Roinn-seòrsa:Sgrìobhadairean Liotuàinianach	Catégorie:Écrivain lituanien
Roinn-seòrsa:Sgrìobhadairean Pòlach	Catégorie:Écrivain polonais
Roinn-seòrsa:Sgrìobhadairean Romàinianach	Catégorie:Écrivain roumain
Roinn-seòrsa:Sgrìobhadairean Ruiseanach	Catégorie:Écrivain russe
Roinn-seòrsa:Sgrìobhadairean Eilbheiseach	Catégorie:Écrivain suisse
Roinn-seòrsa:Sgrìobhadairean Suaineach	Catégorie:Écrivain suédois
Roinn-seòrsa:Sgrìobhadairean Spàinnteach	Catégorie:Écrivain espagnol
Roinn-seòrsa:Sgrìobhadairean Seiceach	Catégorie:Écrivain tchèque
Roinn-seòrsa:Sgrìobhadairean Aimeireaganach	Catégorie:Écrivain américain
Teamplaid:User nds	Modèle:Utilisateur nds
Roinn-seòrsa:Ceinia	Catégorie:Kenya
Roinn-seòrsa:Bàsan 2011	Catégorie:Décès en 2011
Roinn-seòrsa:Delaware	Catégorie:Delaware
Roinn-seòrsa:Georgia (stàit)	Catégorie:Géorgie (États-Unis)
Roinn-seòrsa:Montana	Catégorie:Montana
Teamplaid:Merge	Modèle:À fusionner
Roinn-seòrsa:Tennessee	Catégorie:Tennessee
Roinn-seòrsa:1986	Catégorie:1986
Roinn-seòrsa:Poileataigs na h-Alba	Catégorie:Politique en Écosse
Teamplaid:Infobox Language/family-color	Projet:Charte graphique/Tableau des langues
Teamplaid:User cs-3	Modèle:Utilisateur cs-3
Roinn-seòrsa:Aibhnichean	Catégorie:Rivière
Teamplaid:User hu-1	Modèle:Utilisateur hu-1
Teamplaid:User la-2	Modèle:Utilisateur la-2
Teamplaid:User pl-2	Modèle:Utilisateur pl-2
Teamplaid:User pt	Modèle:Utilisateur pt
Teamplaid:User rm-1	Modèle:Utilisateur rm-1
Teamplaid:User ro-2	Modèle:Utilisateur ro-2
Teamplaid:User ru-1	Modèle:Utilisateur ru-1
Teamplaid:User sk-1	Modèle:Utilisateur sk-1
Teamplaid:User sk-2	Modèle:Utilisateur sk-2
Teamplaid:User sr-1	Modèle:Utilisateur sr-1
Teamplaid:User tr-1	Modèle:Utilisateur tr-1
Teamplaid:User uk-1	Modèle:Utilisateur uk-1
Teamplaid:User zh-1	Modèle:Utilisateur zh-1
Teamplaid:User zh-2	Modèle:Utilisateur zh-2
Roinn-seòrsa:Lesser Antilles	Catégorie:Petites Antilles
Roinn-seòrsa:Greater Antilles	Catégorie:Grandes Antilles
Roinn-seòrsa:Siombabue	Catégorie:Zimbabwe
Roinn-seòrsa:Cruinn-eòlas na h-Alba	Catégorie:Géographie de l'Écosse
Roinn-seòrsa:1 mìle-bliadhna RC	Catégorie:Ier millénaire av. J.-C.
Roinn-seòrsa:User nl	Catégorie:Utilisateur nl
Roinn-seòrsa:User no-2	Catégorie:Utilisateur no-2
Roinn-seòrsa:User no	Catégorie:Utilisateur no
Roinn-seòrsa:User zh-1	Catégorie:Utilisateur zh-1
Roinn-seòrsa:User zh-2	Catégorie:Utilisateur zh-2
Teamplaid:Tnavbar-header	Modèle:Tnavbar-header
Roinn-seòrsa:1320an	Catégorie:Années 1320
Roinn-seòrsa:1370an	Catégorie:Années 1370
Roinn-seòrsa:1380an	Catégorie:Années 1380
Roinn-seòrsa:1390an	Catégorie:Années 1390
Roinn-seòrsa:1430an	Catégorie:Années 1430
Roinn-seòrsa:1550an	Catégorie:Années 1550
Roinn-seòrsa:1660an	Catégorie:Années 1660
Roinn-seòrsa:1740an	Catégorie:Années 1740
Roinn-seòrsa:1840an	Catégorie:Années 1840
Roinn-seòrsa:Nollaig	Catégorie:Noël
Roinn-seòrsa:1 Linn	Catégorie:Ier siècle
Roinn-seòrsa:13mh linn	Catégorie:XIIIe siècle
Roinn-seòrsa:16mh linn	Catégorie:XVIe siècle
Roinn-seòrsa:12mh linn	Catégorie:XIIe siècle
Roinn-seòrsa:2na Linn	Catégorie:IIe siècle
Roinn-seòrsa:22mh linn	Catégorie:XXIIe siècle
Roinn-seòrsa:4mh Linn	Catégorie:IVe siècle
Roinn-seòrsa:5mh Linn	Catégorie:Ve siècle
Roinn-seòrsa:18mh linn	Catégorie:XVIIIe siècle
Roinn-seòrsa:6mh Linn	Catégorie:VIe siècle
Roinn-seòrsa:8mh Linn	Catégorie:VIIIe siècle
Roinn-seòrsa:4mh linn RC	Catégorie:IVe siècle av. J.-C.
Roinn-seòrsa:Sgrìobhadairean Turcach	Catégorie:Écrivain turc
Roinn-seòrsa:Sgrìobhadairean Nigerianach	Catégorie:Écrivain nigérian
Roinn-seòrsa:Sgrìobhadairean Meagsagach	Catégorie:Écrivain mexicain
Roinn-seòrsa:Sgrìobhadairean à Naomh Lùisia	Catégorie:Écrivain saint-lucien
Roinn-seòrsa:Sgrìobhadairean Astràilianach	Catégorie:Écrivain australien
Roinn-seòrsa:Sgrìobhadairean Èipheiteach	Catégorie:Écrivain égyptien
Roinn-seòrsa:Sgrìobhadairean à Trianaid agus Tobago	Catégorie:Écrivain trinidadien
Roinn-seòrsa:Feallsanaiche Greugach	Catégorie:Philosophe grec
Roinn-seòrsa:Sgrìobhadairean Albannach	Catégorie:Écrivain écossais
Roinn-seòrsa:Cànain Innd-Eòrpach	Catégorie:Langue indo-européenne
Roinn-seòrsa:Luchd-ciùil Albannach	Catégorie:Chanteur écossais
Roinn-seòrsa:Gnàthan-charachtair	Catégorie:Personnage de fiction par stéréotype
Roinn-seòrsa:Duais Nobel	Catégorie:Prix Nobel
Roinn-seòrsa:5mh linn RC	Catégorie:Ve siècle av. J.-C.
Roinn-seòrsa:6mh Linn RC	Catégorie:VIe siècle av. J.-C.
Roinn-seòrsa:7mh Linn RC	Catégorie:VIIe siècle av. J.-C.
Roinn-seòrsa:10mh linn RC	Catégorie:Xe siècle av. J.-C.
Roinn-seòrsa:12mh linn RC	Catégorie:XIIe siècle av. J.-C.
Roinn-seòrsa:13mh linn RC	Catégorie:XIIIe siècle av. J.-C.
Roinn-seòrsa:15mh linn	Catégorie:XVe siècle
Roinn-seòrsa:15mh linn RC	Catégorie:XVe siècle av. J.-C.
Roinn-seòrsa:A' Chairtbheil	Catégorie:Géorgie
Roinn-seòrsa:Sgrìobhadairean à Afraga a Deas	Catégorie:Écrivain sud-africain
Roinn-seòrsa:Sgrìobhadairean Guatamalach	Catégorie:Écrivain guatémaltèque
Roinn-seòrsa:Sgrìobhadairean Bulgàirianach	Catégorie:Écrivain bulgare
Roinn-seòrsa:Sgrìobhadairean Coloimbiach	Catégorie:Écrivain colombien
Roinn-seòrsa:Sgrìobhadairean Suòmach	Catégorie:Écrivain finlandais
Roinn-seòrsa:2na linn RC	Catégorie:IIe siècle av. J.-C.
Roinn-seòrsa:3mh linn RC	Catégorie:IIIe siècle av. J.-C.
Roinn-seòrsa:9mh linn RC	Catégorie:IXe siècle av. J.-C.
Roinn-seòrsa:11mh linn RC	Catégorie:XIe siècle av. J.-C.
Roinn-seòrsa:16mh linn RC	Catégorie:XVIe siècle av. J.-C.
Roinn-seòrsa:17mh linn RC	Catégorie:XVIIe siècle av. J.-C.
Roinn-seòrsa:19mh linn RC	Catégorie:XIXe siècle av. J.-C.
Roinn-seòrsa:Sri Lanca	Catégorie:Sri Lanka
Onllwyn	Onllwyn
Roinn-seòrsa:8mh linn RC	Catégorie:VIIIe siècle av. J.-C.
Roinn-seòrsa:9mh Linn	Catégorie:IXe siècle
Roinn-seòrsa:18mh linn RC	Catégorie:XVIIIe siècle av. J.-C.
Roinn-seòrsa:Aonadh Sobhiat	Catégorie:URSS
Roinn-seòrsa:An Iùgoslabh	Catégorie:Yougoslavie
Roinn-seòrsa:Template namespace templates	Catégorie:Modèle de l'espace Modèle
Roinn-seòrsa:1mh linn RC	Catégorie:Ier siècle av. J.-C.
Roinn-seòrsa:Sgrìobhadairean Palastainiach	Catégorie:Écrivain palestinien
Teamplaid:User de-4	Modèle:Utilisateur de-4
Roinn-seòrsa:A' Chuimrigh	Catégorie:Pays de Galles
Còiseam	Konstantin
Teamplaid:MONTHABBREV	Modèle:MONTHABBREV
Roinn-seòrsa:Cinn-suidhe nan Stàitean Aonaichte	Catégorie:Président des États-Unis
Roinn-seòrsa:Trianaid agus Tobago	Catégorie:Trinité-et-Tobago
Roinn-seòrsa:Suranam	Catégorie:Suriname
Roinn-seòrsa:Nirribhidh	Catégorie:Norvège
Roinn-seòrsa:Panama	Catégorie:Panama
Roinn-seòrsa:Paraguaidh	Catégorie:Paraguay
Roinn-seòrsa:Fìdi	Catégorie:Fidji
Roinn-seòrsa:Liechtenstein	Catégorie:Liechtenstein
Roinn-seòrsa:Uruguaidh	Catégorie:Uruguay
Roinn-seòrsa:Andorra	Catégorie:Andorre
Roinn-seòrsa:Pearù	Catégorie:Pérou
Roinn-seòrsa:Boilibhia	Catégorie:Bolivie
Roinn-seòrsa:Albàinia	Catégorie:Albanie
Roinn-seòrsa:Iasg	Catégorie:Poisson
Roinn-seòrsa:Miotas-eòlas	Catégorie:Mythologie
Roinn-seòrsa:Seann Tiomnadh	Catégorie:Ancien Testament
Roinn-seòrsa:LCDT-faclan	Catégorie:Terme LGBT
Roinn-seòrsa:Beathaichean	Catégorie:Animal
Teamplaid:Coimhearsnachdan Fhèin-riaghlach na Spàinne	Modèle:Palette Communautés autonomes d'Espagne
Roinn-seòrsa:Na h-Eileanan Balèarach	Catégorie:Îles Baléares
Roinn-seòrsa:Tonga	Catégorie:Tonga
Roinn-seòrsa:Coloimbia	Catégorie:Colombie
Roinn-seòrsa:Àirneis	Catégorie:Ameublement
Roinn-seòrsa:Aimearaga Mheadhanach	Catégorie:Amérique centrale
Roinn-seòrsa:Eileanan na h-Alba	Catégorie:Île d'Écosse
Roinn-seòrsa:Aodach	Catégorie:Vêtement
Roinn-seòrsa:Prìomh-bhailtean	Catégorie:Capitale de pays
Roinn-seòrsa:Web 2.0	Catégorie:Web 2.0
Roinn-seòrsa:Afraga-an-Ear	Catégorie:Afrique de l'Est
Roinn-seòrsa:Meatailt	Catégorie:Métal
Roinn-seòrsa:User pl	Catégorie:Utilisateur pl
Roinn-seòrsa:1590an	Catégorie:Années 1590
Roinn-seòrsa:1620an	Catégorie:Années 1620
Roinn-seòrsa:1600an	Catégorie:Années 1600
Roinn-seòrsa:1690an	Catégorie:Années 1690
Roinn-seòrsa:A' Chòrn	Catégorie:Cornouailles
Roinn-seòrsa:Co-mhaoineas	Catégorie:Communisme
Roinn-seòrsa:Antargtaca	Catégorie:Antarctique
Roinn-seòrsa:Aimearaga a Tuath	Catégorie:Amérique du Nord
Teamplaid:Cànan	Modèle:Infobox Langue
Teamplaid:User sl	Modèle:Utilisateur sl
Teamplaid:User tl	Modèle:Utilisateur tl
Teamplaid:Dàta brataich Poblachd Weimar	Modèle:Country data République de Weimar
Roinn-seòrsa:1830an	Catégorie:Années 1830
Roinn-seòrsa:Guatamala	Catégorie:Guatemala
Roinn-seòrsa:Caistealan na h-Alba	Catégorie:Château en Écosse
Roinn-seòrsa:Filmean co-cheangailte ri LCDT	Catégorie:Film sur les LGBT
Roinn-seòrsa:Macau	Catégorie:Macao
Teamplaid:User ga-1	Modèle:Utilisateur ga-1
Teamplaid:User af-2	Modèle:Utilisateur af-2
Roinn-seòrsa:Prìomh-bhailtean ann an Aimearaga a Deas	Catégorie:Capitale d'Amérique du Sud
Roinn-seòrsa:Prìomh-bhailtean ann an Afraga	Catégorie:Capitale d'Afrique
Roinn-seòrsa:Oilthighean Albannach	Catégorie:Université écossaise
Roinn-seòrsa:Alba	Catégorie:Écosse
Roinn-seòrsa:Prìomh-Bhailtean na Roinn Eorpa	Catégorie:Capitale européenne
Roinn-seòrsa:Prìomh-bhailtean ann an Àisia	Catégorie:Capitale d'Asie
Uisge Losaidh	Lossie
Roinn-seòrsa:Èirinn a Tuath	Catégorie:Irlande du Nord
Slige-chreachainn	Pétoncle
Teamplaid:Dàta brataich A' Ghearmailt fo cheannsachadh feachdan nan caidreabhach	Modèle:Country data Allemagne occupée
Adhair	Air
Teamplaid:CompactTOC	Modèle:Compacttoc
Roinn-seòrsa:Tolkien	Catégorie:J. R. R. Tolkien
Biadh meadhan-latha	Almuerzo
Sophie Rundle	Sophie Rundle
Teamplaid:Columns-list	Modèle:Colonnes
Teamplaid:Coord/display/inline	Modèle:Coord/display/inline
Teamplaid:Coord/input/dm	Modèle:Coord/input/dm
Teamplaid:Flag	Modèle:Pays
Sìona	China
Roinn-seòrsa:Provincias na Spàinne	Catégorie:Province d'Espagne
Roinn-seòrsa:LCDT-litreachas	Catégorie:LGBT dans la littérature
Trojany	Trojany (Mazovie)
Roinn-seòrsa:Na Balcain	Catégorie:Balkans
Whisky Galore	Whisky à gogo
Uallas, Alba Nuadh	Wallace (Nouvelle-Écosse)
Teamplaid:User grc	Modèle:Utilisateur grc
Teamplaid:User gl-3	Modèle:Utilisateur gl-3
Teamplaid:User gd-3	Modèle:Utilisateur gd-3
Teamplaid:User gd-2	Modèle:Utilisateur gd-2
Teamplaid:User gd-1	Modèle:Utilisateur gd-1
Teamplaid:User cy-1	Modèle:Utilisateur cy-1
Teamplaid:User cy	Modèle:Utilisateur cy
Roinn-seòrsa:23mh linn	Catégorie:XXIIIe siècle
Roinn-seòrsa:Ailseabra	Catégorie:Algèbre
Roinn-seòrsa:Antioquia	Catégorie:Antioquia
Roinn-seòrsa:Earra-Ghàidheal agus Bòd	Catégorie:Argyll and Bute
Roinn-seòrsa:Àireamhachd	Catégorie:Arithmétique
Roinn-seòrsa:Sgrìobhadairean Beilgeach san Fhraingis	Catégorie:Écrivain belge francophone
Roinn-seòrsa:Prìomh-bhailtean ann an Aimearaga Mheadhanach	Catégorie:Capitale d'Amérique centrale
Roinn-seòrsa:Eileanan a' Chaolais	Catégorie:Îles Anglo-Normandes
Briathar	Terminologie
Roinn-seòrsa:Comhairle Dhùn Phris is Gall-Ghaidhealaibh	Catégorie:Dumfries and Galloway
Roinn-seòrsa:Comhairle Shiorrachd Àir an Ear	Catégorie:East Ayrshire
Roinn-seòrsa:Comhairle Shiorrachd Rinn Friù an Ear	Catégorie:East Renfrewshire
Roinn-seòrsa:Dùn Èideann	Catégorie:Édimbourg
Roinn-seòrsa:Siorrachdan na h-Alba	Catégorie:Comté d'Écosse
